word,coefficient
ugh,1.271103107039835
hated,1.268999316181909
murdered,1.2678889297351024
children,1.2678494524968908
broke,1.2675801845723889
lying,1.2661836282997918
evidence,1.2572108853284678
dirty,1.2565698089528032
irritating,1.2502756016847325
trend,1.2488995433797372
notification,1.2466665080032684
war,1.2465603606676334
ignore,1.2458279705201885
pathetic,1.2455556074261136
mistake,1.24355848439394
tax,1.2434515301264044
guilt,1.2433294142345637
doomed,1.2373352739998615
syndrome,1.2351677971730357
causing,1.232347618488086
treated,1.224077482871806
fault,1.2240332252314745
imagine,1.2190522533847956
homeless,1.2180526974541421
victim,1.2175115208858347
depressing,1.2156818439079646
incorrect,1.2144072144149884
911,1.2134057809397618
sake,1.2115354001109688
concerned,1.210099939713214
uncomfortable,1.2085270020231182
media,1.2083367283481525
disappointed,1.2064113922312192
liar,1.204028438656105
terrifying,1.1988114029879064
sold,1.1971486726347573
misleading,1.1961307285130967
feel,1.194406611176406
driving,1.1938075451298829
block,1.1922821894885338
huh,1.1852644321118635
exact,1.185080311389844
shot,1.181528218586555
antisocial,1.1813639321692964
danger,1.1768039774778483
station,1.1747379354173724
anger,1.174400432610427
basement,1.172777836647549
law,1.1712762886863135
total,1.1693584662628635
fraud,1.1682901907748113
fought,1.1640058050576387
shallow,1.1619621303298262
flag,1.1605106795952858
ego,1.1543901060018278
society,1.1536626788274247
stuck,1.1482543648977928
narcissists,1.1454449415090218
slaves,1.145137086873709
tears,1.1441761635012047
russian,1.1440981368957268
sentence,1.1434007713529835
envy,1.1426707786975854
screaming,1.1412353540465991
officers,1.1391202441390123
overwhelming,1.1353082053241201
complicated,1.1352218684797986
left,1.1343581207898399
bait,1.1312754229694901
government,1.1274386258862157
caused,1.1242069675241453
disaster,1.1241959195316282
cold,1.1208254976171008
reasons,1.1158118113083075
demonic,1.1147553278754658
allowed,1.11455751617941
refused,1.1121534911280115
grief,1.108219189717423
citizens,1.102995393151643
clown,1.102404399719861
foolish,1.0999956246794043
propaganda,1.0996923862856633
audio,1.0979951694645291
annoyed,1.094635760683384
punishment,1.093602476584024
odd,1.0928596933706844
constantly,1.092245177449181
trying,1.0915295738412412
sadness,1.091163029209841
sounds,1.0905965232185857
nick,1.0901920626170107
aged,1.0888885137079567
bias,1.0876300429662016
normal,1.085979530626385
fuck,1.0843640239215233
car,1.0816403799934373
trap,1.0802569106732935
traumatized,1.0800750556190624
condolences,1.0800462639327362
till,1.0795945953251442
wtf,1.0792937766876942
shut,1.077387614727694
brains,1.075445069912618
attack,1.0747286572610384
spoiled,1.0733610185003222
traumatic,1.073193749933637
ouch,1.0718418725231482
intentionally,1.0712166234946756
useless,1.0658877487354261
unfortunate,1.0653078438305232
blame,1.0651758315218438
incident,1.0649417183052654
entitled,1.063857779150972
disrespectful,1.0630463756068684
shocking,1.0607130380645176
rubbish,1.059734993322938
triggers,1.0572425547403392
nearly,1.0540442601020252
loss,1.0537622262681123
refuse,1.053713917180435
usa,1.0532108271873293
lied,1.0512273755212131
misunderstood,1.0499720281778075
dry,1.0485892672565846
boomers,1.045547314514614
dislike,1.044450162370589
country,1.0437667232642163
inaccessible,1.0432277577133187
coach,1.0416217316641676
nation,1.0400479204069015
die,1.0385133268813211
does,1.0381956974363036
missed,1.0381422316412787
psycho,1.0360138744898422
blah,1.0357501293083888
tf,1.0345434513093172
mess,1.0338403162546268
sucked,1.0303748437345053
unstable,1.0274046795954106
kills,1.026145604624007
selfish,1.0255550645617824
pain,1.0236826297476251
cracks,1.023059167397279
petty,1.021661080407996
humans,1.0211056284922388
schizophrenics,1.0188111598198566
